,Label (Storage Condition),,,,,,,,,,
Sample ID,2_8degC,RT,BHT,-20degC,,,,,,,
0,0.941216958,-0.992736409,-1.06706622,-0.97449744,,,,,,,
1,0.925046732,-1.290135408,-1.250725534,-0.931414359,,,,,,,
2,0.908974587,-1.191541831,-1.053691939,-0.93955867,,,,,,,
3,0.920131041,-0.97665673,-0.993469389,-0.899572712,,,,,,,
4,-0.992264534,0.973833893,-0.994554859,-1.76634144,,,,,,,
5,-0.971496843,0.981294395,-0.966211414,-1.775675923,,,,,,,
6,-1.054811645,1.073339204,-1.112025958,-2.096030961,,,,,,,
7,-1.311731727,0.968550356,-0.979000407,-1.68239629,,,,,,,
8,-1.557003471,-0.94993943,0.976135452,-0.977073553,,,,Label (Storage Condition),,,
9,-1.651056125,-0.998655035,0.981422584,-1.019245766,,,Sample ID,2_8degC,RT,BHT,-20degC
10,-0.981541101,-0.977468809,0.958393485,-1.682393898,,,0,0.941216958,-0.992736409,-1.06706622,-0.97449744
11,-0.950888078,-0.989693733,-0.996326759,0.948503114,,,1,0.925046732,-1.290135408,-1.250725534,-0.931414359
12,-0.972897419,-0.993364589,-0.98856258,0.958090119,,,2,0.908974587,-1.191541831,-1.053691939,-0.93955867
13,-0.926940981,-1.182216419,-1.094285631,0.916822717,,,3,0.920131041,-0.97665673,-0.993469389,-0.899572712
14,-0.862101404,-1.463894538,-0.986022104,0.899529049,,,4,-0.992264534,0.973833893,-0.994554859,-1.76634144
,,,,,,,5,-0.971496843,0.981294395,-0.966211414,-1.775675923
,,,,,,,6,-1.054811645,1.073339204,-1.112025958,-2.096030961
,,,,,,,7,-1.311731727,0.968550356,-0.979000407,-1.68239629
,,,,,,,8,-1.557003471,-0.94993943,0.976135452,-0.977073553
,,,,,,,9,-1.651056125,-0.998655035,0.981422584,-1.019245766
,,,,,,,10,-0.981541101,-0.977468809,0.958393485,-1.682393898
,,,,,,,11,-0.950888078,-0.989693733,-0.996326759,0.948503114
,,,,,,,12,-0.972897419,-0.993364589,-0.98856258,0.958090119
,,,,,,,13,-0.926940981,-1.182216419,-1.094285631,0.916822717
,,,,,,,14,-0.862101404,-1.463894538,-0.986022104,0.899529049
