,0,1,2,3,,,,,,,,,,,
0,-0.120182152,-0.423997966,-0.798600237,0.220665446,,,,,,,,,,,
1,0.142751348,-0.607778002,-0.815530017,0.388346833,,,,,,,,,,,
2,0.124732688,-0.695170498,-0.647040043,0.176359333,,,,,,,,,,,
3,-0.199249096,-0.690653518,-0.666367134,0.6697244,,,,,,,,,,,
4,-0.618352121,0.827873076,-0.483699195,-0.642083581,,,,,,,,,,,
5,-0.531416745,0.605436909,-0.279644221,-0.615716366,,,,,,,,,,,
6,-0.493948794,1.164861363,-0.512424224,-1.033136959,,,,,,,,,,,
7,-0.529035647,0.94381879,-0.265164933,-1.035878424,,,,,,,,,,,
8,-0.746028209,-0.152189799,0.668483166,-0.335869513,,,,,,,,,,,
9,-0.783927797,-0.351220076,0.8732082,-0.401654206,,,,,,,,,,,
10,-0.764333223,-0.259318066,0.587538282,-0.471301088,,,,,,,,,,,
11,0.382460787,-0.573237148,-0.394701274,0.146228341,,,,,,,,,,,
12,0.327950554,-0.760812045,-0.352160845,-0.104571863,,,,,,,,,,,
13,0.485858863,-0.752681678,-0.61525076,-0.185736193,,,,,,,,Label (Storage Condition),,,
14,0.777355023,-1.179618703,-0.431102862,-0.133621058,,,,,,,Sample ID,2_8degC,RT,BHT,-20degC
,,,,,,,,,,,0,-0.120182152,-0.423997966,-0.798600237,0.220665446
,,,,,,,,,,,1,0.142751348,-0.607778002,-0.815530017,0.388346833
,,,,,,,,,,,2,0.124732688,-0.695170498,-0.647040043,0.176359333
,,,,,,,,,,,3,-0.199249096,-0.690653518,-0.666367134,0.6697244
,,,,,,,,,,,4,-0.618352121,0.827873076,-0.483699195,-0.642083581
,,,,,,,,,,,5,-0.531416745,0.605436909,-0.279644221,-0.615716366
,,,,,,,,,,,6,-0.493948794,1.164861363,-0.512424224,-1.033136959
,,,,,,,,,,,7,-0.529035647,0.94381879,-0.265164933,-1.035878424
,,,,,,,,,,,8,-0.746028209,-0.152189799,0.668483166,-0.335869513
,,,,,,,,,,,9,-0.783927797,-0.351220076,0.8732082,-0.401654206
,,,,,,,,,,,10,-0.764333223,-0.259318066,0.587538282,-0.471301088
,,,,,,,,,,,11,0.382460787,-0.573237148,-0.394701274,0.146228341
,,,,,,,,,,,12,0.327950554,-0.760812045,-0.352160845,-0.104571863
,,,,,,,,,,,13,0.485858863,-0.752681678,-0.61525076,-0.185736193
,,,,,,,,,,,14,0.777355023,-1.179618703,-0.431102862,-0.133621058
