Sample,Group,Dimethylglycine_HMDB0000092,Glyoxylic acid_HMDB0000119,Pyruvic acid_HMDB0000243,L-Lactic acid_HMDB0000190,Alpha-Hydroxyisobutyric acid_HMDB0000729,Glycolic acid_HMDB0000115,Caproic acid_HMDB0000535,L-Alanine_HMDB0000161,Alpha-ketoisovaleric acid_HMDB0000019,Glycine_HMDB0000123,Oxalic acid_HMDB0002329,Hydroxylamine_HMDB0003338,2-Hydroxybutyric acid_HMDB0000008,Acetoacetic acid_HMDB0000060,Hydroxypropionic acid_HMDB0000700,Pyruvic acid_HMDB0000243,3-Hydroxybutyric acid_HMDB0000357,(S)-3-Hydroxyisobutyric acid_HMDB0000023,2-Hydroxy-3-methylbutyric acid_HMDB0000407,D-Alpha-aminobutyric acid_HMDB0000650,3-Methyl-2-oxovaleric acid_HMDB0000491,Beta-Alanine_HMDB0000056,2-Methyl-3-hydroxybutyric acid_HMDB0000354,3-Methyl-2-oxovaleric acid_HMDB0000491,Malonic acid_HMDB0000691,3-Aminoisobutanoic acid_HMDB0003911,3-Hydroxyisovaleric acid_HMDB0000754,Ketoleucine_HMDB0000695,L-Valine_HMDB0000883,ITSD_Valine,Urea_HMDB0000294,Benzoic acid_HMDB0001870,Caprylic acid_HMDB0000482,Glycerol_HMDB0000131,Ethanolamine_HMDB0000149,L-Leucine_HMDB0000687,Acetylglycine_HMDB0000532,L-Isoleucine_HMDB0000172,Nicotinic acid_HMDB0001488,Maleic acid_HMDB0000176,L-Proline_HMDB0000162,Phenylacetic acid_HMDB0000209,Succinic acid_HMDB0000254,Glycine_HMDB0000123,Methylsuccinic acid_HMDB0001844,Glyceric acid_HMDB0000139,Fumaric acid_HMDB0000134,Uracil_HMDB0000300,Pelargonic acid_HMDB0000847,L-Serine_HMDB0000187,L-Threonine_HMDB0000167,Mesaconic acid_HMDB0000749,Glutaric acid_HMDB0000661,Thymine_HMDB0000262,Beta-Alanine_HMDB0000056,L-Homoserine_HMDB0000719,Capric acid_HMDB0000511,Citramalic acid_HMDB0000426,Malic acid_HMDB0000744,Niacinamide_HMDB0001406,Adipic acid_HMDB0000448,D-Threitol_HMDB0004136,Dihydrouracil_HMDB0000076,Erythritol_HMDB0002994,N-Acetylserine_HMDB0002931,L-Aspartic acid_HMDB0000191,L-Methionine_HMDB0000696,4-Hydroxyproline_HMDB0000725,Pyroglutamic acid_HMDB0000267,Cytosine_HMDB0000630,Gamma-Aminobutyric acid_HMDB0000112,Threonic acid_HMDB0000943,L-Cysteine_HMDB0000574,L-2-Hydroxyglutaric acid_HMDB0000694,Creatinine_HMDB0000562,3-Hydroxyglutaric acid_HMDB0000428,Oxoglutaric acid_HMDB0000208,Phenylpyruvic acid_HMDB0000205,Pimelic acid_HMDB0000857,Phenyllactic acid_HMDB0000779,Phosphoenolpyruvic acid_HMDB0000263,Ornithine_HMDB0000214,Hypotaurine_HMDB0000965,Triethanolamine_HMDB0032538,2-Aminobenzoic acid_HMDB0001123,L-Glutamic acid_HMDB0000148,4-Hydroxybenzoic acid_HMDB0000500,5-Aminopentanoic acid_HMDB0003355,"2,3-Dihydroxybutanedioic acid_HMDB0059916",L-Phenylalanine_HMDB0000159,Dodecanoic acid_HMDB0000638,Lyxose_HMDB0003402_1,D-Xylose_HMDB0000098,Lyxose_HMDB0003402_2,D-Arabinose_HMDB0029942,L-Asparagine_HMDB0000168,D-Ribulose_HMDB0000621,D-Ribose_HMDB0000283,D-Xylulose_HMDB0001644,3-Sulfinoalanine_HMDB0000996,Suberic acid_HMDB0000893,L-Lysine_HMDB0000182,Levoglucosan_HMDB0000640,D-Arabitol_HMDB0000568,Ribitol_HMDB0000508,cis-Aconitic acid_HMDB0000072,Quinolinic acid_HMDB0000232,Putrescine_HMDB0001414,Glycerol 3-phosphate_HMDB0000126,Vanillic acid_HMDB0000484,L-Glutamine_HMDB0000641,2-Phosphoglyceric acid_HMDB0000362,Azelaic acid_HMDB0000784,L-Dihydroorotic acid_HMDB0003349,O-Phosphoethanolamine_HMDB0000224,3-Phosphoglyceric acid_HMDB0000807,Isocitric acid_HMDB0000193,Hypoxanthine_HMDB0000157,Citric acid_HMDB0000094,L-Arginine_HMDB0000517,Ornithine_HMDB0000214,Dopamine_HMDB0000073,Myristic acid_HMDB0000806,"1,5-Anhydrosorbitol_HMDB0002712",D-Tagatose_HMDB0003418,Psicose_1,Sebacic acid_HMDB0000792,D-Fructose_HMDB0000660,Gluconolactone_HMDB0000150,L-Sorbose_HMDB0001266,D-Mannose_HMDB0000169,Hydroxyphenyllactic acid_HMDB0000755,D-Glucose_HMDB0000122,N-Acetylglutamine_HMDB0006029,L-Lysine_HMDB0000182,D-Mannose_HMDB0000169,Tyramine_HMDB0000306,L-Histidine_HMDB0000177,D-Glucose_HMDB0000122,1-Hexadecanol_HMDB0003424,L-Tyrosine_HMDB0000158,Mannitol_HMDB0000765,Sorbitol_HMDB0000247,ITSD_Sorbitol,Galacturonic acid_HMDB0002545,Pantothenic acid_HMDB0000210,Palmitoleic acid_HMDB0003229,Xanthine_HMDB0000292,Gluconic acid_HMDB0000625,Palmitic acid_HMDB0000220,Glucaric acid_HMDB0000663,N-Acetylmannosamine_HMDB0001129,N-Acetyl-D-glucosamine_HMDB0000215,D-Ribulose 5-phosphate_HMDB0000618,Uric acid_HMDB0000289,D-Ribose 5-phosphate_HMDB0001548,myo-Inositol_HMDB0000211,D-Ribose 5-phosphate_HMDB0001548,Heptadecanoic acid_HMDB0002259,Octadecanol_HMDB0002350,Glutathione_HMDB0000125,Linoleic acid_HMDB0000673,Oleic acid_HMDB0000207,Elaidic acid_HMDB0000573,"alpha-Glucose 1,6-bisphosphate_HMDB0003514",Stearic acid_HMDB0000827,L-Tryptophan_HMDB0000929,Fructose 1-phosphate_HMDB0001076,Mannose 6-phosphate_HMDB0001078,Arachidonic acid_HMDB0001043,Glucose 6-phosphate_HMDB0001401,6-Phosphogluconic acid_HMDB0001316,Inositol phosphate_HMDB0002985,Uridine_HMDB0000296,Stigmasterol_HMDB0000937,D-Sedoheptulose 7-phosphate_HMDB0001068,Sucrose_HMDB0000258,MG(18:0e/0:0/0:0)_HMDB0011143,Trehalose_HMDB0000975,D-Maltose_HMDB0000163,Lactitol_HMDB0040937,Xanthylic acid_HMDB0001554,Adenosine monophosphate_HMDB0000045,Cholesterol_HMDB0000067,Lathosterol_HMDB0001170,7b-Hydroxycholesterol_ HMDB0006119
HP 2_8degC_1,2_8degC,1426172,1591380,100740,1972502,80250,3891814,2386481,513996,18467,293208,829278,25569700,670578,2316511,2782115,61335,2860526,1312269,133303,63104,67141,72600,1637,43587,58567,11545,436624,158511,23059351,4133382,36869675,7143039,473391,2612449,1846927,19054057,29402,11701159,32906,25469,21797825,37973,717673,21175074,23197,2625900,217180,117371,1708604,16905059,4921226,12301,224726,10133,390546,4194,513362,53695,156390,1020833,117434,56387,31559,607938,33119,16838123,34562,5213844,29227259,60236,177741,2610244,1667511,432188,29306,11724,40399,977,8686,23855,649149,334952,105997,698803,7720,1446386,277773,23470,55668,2532294,591234,76798,29449,35805,392308,398757,173138,105963,232025,28609,39544,45564,626574,67512,20632,19557,4045,68716,540651,84490,687131,109426,95209,272599,25862,477080,57992,115036,1743589,260167,3326815,233936,1196759,167916,6313755,42917,46012,1768738,135666,1116177,927622,153383,31738983,2115882,1148646,257307,2934489,231728,19457732,76452,8843292,222127,9499146,3132187,734965,7422,262778,13680,682965,17594904,30770,104170,84938,79736,3349376,58293,3844579,92640,360128,271869,806910,1515528,2535293,201444,123978,8978039,92130,68149,29166,84201,12078,51501,222236,77706,5078807,2832,1582940,226467,2250788,856000,38063,364001,7301,5644816,23558,525597
HP 2_8degC_2,2_8degC,1517956,1686277,142948,2729996,85646,6069966,2952691,517222,23619,433227,878273,23568231,823919,2591941,3430399,55779,3891827,1641486,159820,64794,64500,70152,3491,52560,77604,9904,514456,199013,23039031,4143518,37733299,12300348,706567,3759835,2037245,19710206,47576,12557620,27040,39330,22024168,53312,790131,23405583,26562,3650342,290955,121179,2419142,19182246,5888290,12277,234391,5873,315886,24209,964836,51915,224240,1020071,109506,65310,31868,730425,51876,17821026,21531,6257025,30801111,50699,171477,3127127,1947532,479517,23496,14146,49774,3545,9185,33510,696760,32627,102106,1092816,6483,1207672,303932,34935,68965,2034479,713887,113615,48176,38493,577414,128257,342430,127563,512322,12926,49231,3383,788246,88841,23165,23126,6039,59632,433681,103156,56826,132973,101596,390597,28208,641578,65799,-1745,2055709,195629,1625188,126591,1497032,200476,9442854,177241,51594,2607554,188413,1631464,906044,244979,32065931,2164019,502433,211188,1334075,104658,19531642,89381,3654056,235328,1120989,3981507,936243,14699,318536,2066,714041,19088825,47246,72816,78564,92881,1727598,80330,4127216,136925,403091,400659,685959,1953155,2956247,226354,146104,11197669,114222,80515,30223,64765,23906,74334,226651,83926,6326150,8365,1453751,279571,439349,205406,39952,134353,14407,6020618,23632,535842
HP 2_8degC_3,2_8degC,1664485,1827098,130359,2211164,94101,5831749,2782558,567592,17357,278424,887167,25995002,743398,2478066,3195594,62823,3301267,1490424,157291,78495,66092,67713,2163,45301,71738,10936,498535,169741,23988604,4679020,37199029,12602431,689279,2680759,1962281,19043497,50313,11230801,24009,33748,21257207,46525,802481,22109250,38906,3014689,270262,116329,2492681,15673835,5210697,14168,230516,6510,353996,19242,940858,47928,194108,993309,93849,74032,32695,685286,31422,16400439,24838,5578159,29687625,64783,137335,2918482,1859002,468866,35723,13416,45311,578,9038,33386,624637,222444,131893,587648,6940,1337612,315397,27436,54046,2272331,616976,111493,31184,35555,557332,280418,295926,139605,425751,22097,33017,20114,747172,89559,23918,13757,4855,43895,404958,105500,377453,116104,91873,347134,21293,548247,70007,65070,1842605,269553,2390032,177560,1196371,199143,9716650,170638,60692,2392059,177993,1567963,866271,196779,31795203,2121120,861905,243776,2221467,160374,19414313,91567,6212319,277250,977070,3779050,868105,12868,282486,4859,645082,17510774,38712,84168,86309,87390,2604185,85460,3917267,113367,365024,333780,591476,1269616,2296064,216184,101316,8949345,86550,70584,21593,86401,19011,56567,232457,122566,5855086,4165,1360706,251630,366872,158065,51457,195269,7742,6263993,24783,554371
HP 2_8degC_4,2_8degC,1159526,1294607,93469,1557122,63105,4042984,1781499,448708,15182,232698,896777,22312024,628976,2142033,2599312,46503,2493673,1190808,122223,69006,56621,61242,2085,36508,57854,8370,408428,143531,22108666,3934716,36362818,4248061,416886,2075463,1411555,16936400,33463,9564141,20431,22523,19524834,36227,639726,19383077,26204,2317531,194230,83531,1576778,9198681,4067794,10058,205128,6302,323188,8855,508170,39467,148534,880212,86206,6219,28633,608851,14537,14244837,19882,4483495,27656329,56510,104827,2524202,1598280,383790,28927,10584,36653,211,11303,22081,740760,273977,94444,380579,6182,1246538,249149,23159,46420,2136040,509707,84580,22603,30836,524754,417223,186999,127796,294195,19064,33682,37748,593153,64430,16406,17060,3316,28279,361450,78016,630971,93904,81372,300575,19128,471802,48111,172734,1529636,217641,2374826,165391,1013765,176138,7653830,152741,40889,1672805,124968,1047955,820316,138814,31410070,2063058,938196,256573,2518874,204177,19287783,60857,7398059,199223,1119115,3469195,786762,8326,213982,10484,568915,16103977,36779,63175,67836,65656,3380602,81699,3179437,122284,315927,243180,709058,982849,1881566,162843,118005,7416472,77083,58868,22126,118340,13230,41611,193257,65270,3819777,4352,699933,191838,224136,76907,39453,407070,5052,5277272,18253,480930
HP RT_1,RT,676603,762540,174855,3666034,96213,3692688,1314990,774759,21773,601689,866407,25375319,648197,2372970,3447595,62401,3030239,1336496,112244,85267,55988,128643,3327,45246,105786,14609,543396,155188,25206086,5336843,38354668,5019941,404497,5292323,3480357,21845964,34909,15123396,26428,26051,22324434,36453,900906,26680221,36678,2119515,318352,130512,1085853,24646778,7762199,12413,243031,10970,581278,4032,391491,134665,155694,1292202,138697,60446,36983,696698,72484,20005699,135795,7083186,31760193,62205,234388,2316563,1514772,349158,51485,10671,45163,208,15221,20889,304673,969120,186217,10819587,20588,1679860,504929,29067,51250,4801350,665545,27156,21595,99432,88488,482668,65866,21398,81658,21470,63664,90454,826549,108421,19326,20139,5719,51691,263450,105774,415339,111332,133913,95005,30152,595320,68802,30036,1440109,144026,10244491,517844,1706868,174321,2319995,20945,64699,1336231,106335,798995,1562451,228316,34914948,3627922,2352307,490379,5741666,457990,24799965,70015,12520300,357523,789331,3935257,780923,11146,348481,8812,545401,19163863,41436,90263,100614,29153,3272359,21332,4547084,44812,315941,302037,625585,1458551,2804603,246439,72154,10472389,110507,53074,21825,77179,11041,47051,183886,89554,6889005,6580,2377553,239961,2110805,831730,50190,9796,1551,5116960,20178,428768
HP RT_2,RT,727034,807206,126424,2724566,66314,3069220,709370,698348,19513,362324,701095,22250336,623682,1752641,2989947,52069,2434597,1166550,104224,86915,49909,97237,2119,44014,72180,17325,459723,142844,25022731,5041728,37674174,5498991,251667,4637211,3319504,22131391,27626,14891103,20571,15752,22900183,30467,743197,25755896,21675,2338209,237520,116011,713548,23278412,7077896,11285,213211,7105,582644,3756,332971,60350,126340,1073512,129550,48912,25729,606024,58547,20001817,172107,6385616,31536796,61410,143875,2219897,1568174,289098,71789,7438,29461,268,11666,14079,288977,1132269,195703,7286839,20469,1743756,466378,18479,46851,5349910,539724,31842,14810,22282,69352,594513,33909,13075,43919,27149,42945,128825,742335,80360,21918,16478,4506,36393,217189,105835,660124,93307,81298,70014,21012,427510,56096,171912,1553951,182032,11957953,601050,1561752,160918,1452237,33346,54756,770883,105292,477572,1597677,141261,34878642,3675413,2990136,571003,7542420,560910,24628730,72308,16652360,278585,1363274,3983998,823934,11214,292678,34834,585756,16650636,56719,92019,96466,28370,4777294,14453,3727504,25971,255919,216426,598054,1041718,2454353,181922,54450,6675165,66942,17344,21477,96562,4518,45513,192094,69398,3981796,2863,1849690,158963,512520,216781,46054,129625,1199,5653514,21400,316166
HP RT_3,RT,751274,832044,150530,4151215,87792,3886825,1073135,856665,22056,621096,799671,25106415,763503,2296590,3420000,65205,3325949,1475653,131697,88496,65791,134593,3728,52908,73057,20801,554460,169781,26317277,5870405,39062998,5729852,350369,6013128,4207868,23634912,37616,17744238,22879,27714,23730038,35030,879351,26602860,25165,2467428,358059,130673,1079975,25437971,8738477,12940,222181,9852,601924,8251,522029,71773,162605,1332269,150004,66369,38476,759230,80582,21027618,154252,7902798,32719715,71441,178222,2664884,1765901,354641,60457,9748,41290,354,10093,26243,329431,971591,203329,11151232,20085,1926280,568155,34820,43217,5959800,742663,41191,11935,25662,80741,582536,30091,23992,72690,26194,53036,94919,793700,90777,21519,16887,4421,47694,255457,125802,739962,139018,93040,86203,26550,634902,72941,76392,1682331,201943,12308369,607333,1778420,194330,1898123,8256,78885,915983,107653,549668,1776926,215833,35303170,4226202,2958745,608767,7183867,551746,25810716,75340,17072848,365498,836721,4499483,903777,12543,352527,19926,633360,18803591,52910,109794,107933,30201,4171519,25153,4207286,27130,323480,285183,764989,1401115,2901689,254410,74143,9165772,100148,35164,20543,88080,9832,47624,199781,76903,6341711,2523,1640040,230621,572257,232393,51065,50165,3331,6235203,25484,443281
HP RT_4,RT,593974,644762,149130,4112542,94976,4503385,658502,791352,25182,529609,826389,26397542,783277,2295288,3767570,73887,3598852,1601514,148885,97372,73171,105028,2988,68801,71293,17967,613810,185734,25769480,5805908,39315580,5157615,387065,5497545,3421378,23438576,39086,17565408,26642,28329,23879350,37200,889775,26884675,23733,2482870,343657,139376,1121108,24082730,8105756,13403,219370,10707,684925,8003,472351,63682,165650,1343466,122711,59728,37328,779353,68408,20472619,140937,7437344,31977652,57966,215450,2819231,1828726,384821,50696,8996,48817,481,16552,22144,346698,299678,199124,10397322,23542,1789642,554804,37412,49585,5194784,698881,44515,24023,29129,129655,384531,42315,30583,76817,20791,45499,13240,776235,98371,19025,23819,5741,59560,252224,111451,414430,136732,89327,107550,27200,717016,53287,32699,1727175,144767,10215403,509791,1811706,210918,1760101,1778544,69088,808612,82349,442749,1991898,281013,36325095,4743274,2493966,638191,6245438,477173,26545670,74950,13356299,504902,676027,4779928,985756,10310,382695,7913,543807,19352309,52533,110838,124828,24372,3102649,26961,4021807,23707,333495,314626,657246,1727321,3251243,272578,78474,9657400,100908,25953,21531,74902,3653,51767,215647,119234,7092788,6227,1702734,261009,611152,255378,53199,6913,1454,6238185,28553,435282
HP RT_BHT_1,BHT,560734,625327,128295,2821701,88315,3315107,655856,579283,15528,422202,818548,25127911,676295,2458412,3574370,62570,3527182,1415879,128849,79753,51910,104708,2048,39734,66572,16306,546170,144817,24240270,5102147,37215952,7640548,385577,4604137,2106968,21070528,29259,13478116,23856,26421,21160077,35032,765809,23822549,26478,2672367,271969,108519,1023734,18435827,5516040,10423,171692,8792,529013,2767,439246,42012,121865,1039654,80157,54672,26423,650480,35142,16998759,94497,5586012,30640942,45922,184735,2422845,1550347,317317,50189,5499,48826,252,12343,19031,171188,166148,133597,853065,17292,1352935,384396,22976,38809,3577675,769412,40666,21736,24760,92462,182568,38103,20230,44925,16823,32598,4878,691618,79741,19494,19760,2982,46263,289528,98260,140524,61853,65198,83355,35956,306371,41501,25918,1117959,83615,4906492,255644,1714549,166015,1435937,32961,47507,736939,84989,418423,1540661,254589,34189108,3643651,1525017,465371,3799580,316751,24653969,81618,7079334,258678,649175,4168399,794923,10124,564179,1467,441296,20752714,43503,103993,102819,24140,2747975,28245,3516268,38696,231461,312598,384816,3039882,6002062,399179,52257,10980491,112222,26382,21027,455773,8297,63041,228354,84074,6919589,5641,2555027,292232,405252,170659,43887,4526,113,6015531,34844,10153
HP RT_BHT_2,BHT,645725,690614,165197,2506349,90194,5603085,976099,546050,16290,376645,806312,23577880,722486,2291952,3639789,55058,3329444,1461956,143957,80632,56641,110808,1801,44623,81542,15589,554227,144343,24247428,5448574,37363843,8668435,404316,4049436,2300510,21260375,47576,13286100,23613,28808,21477253,35813,833351,23616022,39099,2599260,292621,103144,1180730,14236874,5507360,14821,192262,7304,568057,19501,932588,57223,147487,1156032,104444,62902,27794,738042,19034,16995359,114787,5890010,29764231,70062,154367,2658815,1761056,351718,67670,9919,36929,114,8618,13158,228743,474112,129019,416806,17240,1672296,421851,20851,53967,4432602,907574,41861,21970,29056,109075,489900,46295,30789,72131,30024,41683,75520,749954,103683,21477,19966,4104,43533,368899,104171,511249,89368,82240,99786,37979,380092,73843,111020,1405648,217723,6186209,355463,2106759,198689,1850023,46971,72917,928471,107893,584475,1776337,225518,34999429,4123844,2408638,564912,5939479,493608,25440650,94162,11958957,356420,818383,4809573,853458,14528,588735,3285,438283,21058671,45811,111020,111217,55035,4313515,27817,4606679,43480,263247,330352,699244,2985887,6309518,458180,70253,11287359,116373,38852,22152,542560,8667,60624,294343,104201,6089486,4372,2743023,281899,478809,209904,53412,24346,2641,7386359,37677,13283
